Time,Altitude,X Position,Velocity,Acceleration,Thrust,Weight,Gravity Acceleration,Drag Force,Resultant Force,Mach Speed,Air Density,Reference Area,Current Total Mass,Total Fuel Remaining,Core Fuel Remaining,SRB Fuel Remaining,Interim Fuel Remaining
612.5000000000707,2119162.9029000793,1.2976130329541976e-10,6826.064633518205,-1.927156027145914,110100.0057,-168960.96576278115,5.529367865988391,-0.0,-58860.96006278116,19.901624924550784,0,20.43,30557.01299999849,25557.01299999849,0.0,0.0,25557.01299999849
612.6000000000707,2119845.4804739873,1.2980309911747256e-10,6825.872037225863,-1.925962923412935,110100.0057,-168919.55447998506,5.528478891902748,-0.0,-58819.54877998507,19.901063071481644,0,20.43,30554.435999998488,25554.435999998488,0.0,0.0,25554.435999998488
612.7000000000708,2120528.03880616,1.2984489376130887e-10,6825.6795602250695,-1.9247700079358034,110100.0057,-168878.1550936421,5.527590157235619,-0.0,-58778.1493936421,19.90050156625616,0,20.43,30551.858999998487,25551.858999998487,0.0,0.0,25551.858999998487
612.8000000000708,2121210.5779085234,1.2988668722765898e-10,6825.48720249701,-1.9235772805989295,110100.0057,-168836.76759876797,5.526701661884438,-0.0,-58736.761898767974,19.899940408819443,0,20.43,30549.281999998486,25549.281999998486,0.0,0.0,25549.281999998486
612.9000000000708,2121893.097793002,1.2992847951725304e-10,6825.294964022882,-1.9223847412867683,110100.0057,-168795.39199038155,5.525813405746706,-0.0,-58695.38629038156,19.899379599116646,0,20.43,30546.704999998485,25546.704999998485,0.0,0.0,25546.704999998485
613.0000000000708,2122575.5984715186,1.299702706308211e-10,6825.1028447838935,-1.9211923898838386,110100.0057,-168754.02826350433,5.524925388719976,-0.0,-58654.02256350433,19.89881913709295,0,20.43,30544.127999998484,25544.127999998484,0.0,0.0,25544.127999998484
613.1000000000708,2123258.0799559937,1.3001206056909307e-10,6824.910844761266,-1.9200002262747073,110100.0057,-168712.67641316052,5.524037610701857,-0.0,-58612.67071316052,19.898259022693566,0,20.43,30541.550999998482,25541.550999998482,0.0,0.0,25541.550999998482
613.2000000000709,2123940.542258346,1.300538493327988e-10,6824.718963936231,-1.9188082503439916,110100.0057,-168671.33643437724,5.523150071590016,-0.0,-58571.33073437725,19.89769925586375,0,20.43,30538.97399999848,25538.97399999848,0.0,0.0,25538.97399999848
613.3000000000709,2124622.9853904927,1.3009563692266797e-10,6824.5272022900335,-1.917616461976365,110100.0057,-168630.00832218459,5.522262771282184,-0.0,-58530.00262218459,19.897139836548778,0,20.43,30536.39699999848,25536.39699999848,0.0,0.0,25536.39699999848
613.4000000000709,2125305.4093643487,1.301374233394302e-10,6824.335559803928,-1.9164248610565568,110100.0057,-168588.692071615,5.521375709676136,-0.0,-58488.686371615,19.896580764693976,0,20.43,30533.81999999848,25533.81999999848,0.0,0.0,25533.81999999848
613.5000000000709,2125987.8141918276,1.3017920858381492e-10,6824.144036459181,-1.915233447469337,110100.0057,-168547.38767770407,5.520488886669713,-0.0,-58447.38197770408,19.896022040244688,0,20.43,30531.242999998478,25531.242999998478,0.0,0.0,25531.242999998478
613.600000000071,2126670.1998848403,1.302209926565515e-10,6823.952632237071,-1.9140422210995411,110100.0057,-168506.09513549018,5.5196023021608145,-0.0,-58406.08943549018,19.895463663146298,0,20.43,30528.665999998477,25528.665999998477,0.0,0.0,25528.665999998477
613.700000000071,2127352.5664552962,1.302627755583692e-10,6823.761347118888,-1.9128511818320528,110100.0057,-168464.8144400142,5.518715956047386,-0.0,-58364.808740014196,19.89490563334423,0,20.43,30526.088999998476,25526.088999998476,0.0,0.0,25526.088999998476
613.800000000071,2128034.9139151033,1.3030455728999713e-10,6823.570181085933,-1.9116603295518015,110100.0057,-168423.54558632025,5.517829848227447,-0.0,-58323.53988632026,19.89434795078393,0,20.43,30523.511999998474,25523.511999998474,0.0,0.0,25523.511999998474
613.900000000071,2128717.242276167,1.3034633785216433e-10,6823.379134119518,-1.9104696641437844,110100.0057,-168382.28856945483,5.516943978599058,-0.0,-58282.28286945484,19.893790615410882,0,20.43,30520.934999998473,25520.934999998473,0.0,0.0,25520.934999998473
614.000000000071,2129399.551550391,1.303881172455997e-10,6823.188206200969,-1.9092791854930364,110100.0057,-168341.04338446743,5.516058347060345,-0.0,-58241.03768446743,19.893233627170606,0,20.43,30518.357999998472,25518.357999998472,0.0,0.0,25518.357999998472
614.1000000000711,2130081.841749678,1.3042989547103198e-10,6822.99739731162,-1.9080888934846525,110100.0057,-168299.81002641033,5.51517295350949,-0.0,-58199.80432641033,19.892676986008656,0,20.43,30515.78099999847,25515.78099999847,0.0,0.0,25515.78099999847
614.2000000000711,2130764.1128859273,1.304716725291899e-10,6822.80670743282,-1.9068987880037787,110100.0057,-168258.5884903384,5.514287797844725,-0.0,-58158.58279033842,19.892120691870613,0,20.43,30513.20399999847,25513.20399999847,0.0,0.0,25513.20399999847
614.3000000000711,2131446.3649710375,1.30513448420802e-10,6822.616136545927,-1.9057088689356103,110100.0057,-168217.37877130954,5.513402879964348,-0.0,-58117.37307130954,19.891564744702098,0,20.43,30510.62699999847,25510.62699999847,0.0,0.0,25510.62699999847
614.4000000000711,2132128.598016905,1.3055522314659672e-10,6822.42568463231,-1.9045191361653986,110100.0057,-168176.1808643843,5.512518199766709,-0.0,-58076.175164384316,19.891009144448766,0,20.43,30508.049999998468,25508.049999998468,0.0,0.0,25508.049999998468
614.5000000000712,2132810.8120354246,1.3059699670730238e-10,6822.235351673352,-1.9033295895784474,110100.0057,-168134.99476462594,5.511633757150213,-0.0,-58034.989064625945,19.890453891056296,0,20.43,30505.472999998467,25505.472999998467,0.0,0.0,25505.472999998467
614.6000000000712,2133493.0070384885,1.306387691036472e-10,6822.045137650446,-1.9021402290601095,110100.0057,-168093.82046710068,5.510749552013328,-0.0,-57993.81476710069,19.889898984470413,0,20.43,30502.895999998465,25502.895999998465,0.0,0.0,25502.895999998465
614.7000000000712,2134175.183037988,1.306805403363593e-10,6821.855042544997,-1.9009510544957928,110100.0057,-168052.6579668773,5.5098655842545705,-0.0,-57952.65226687731,19.88934442463687,0,20.43,30500.318999998464,25500.318999998464,0.0,0.0,25500.318999998464
614.8000000000712,2134857.3400458116,1.3072231040616666e-10,6821.66506633842,-1.8997620657709549,110100.0057,-168011.50725902762,5.5089818537725215,-0.0,-57911.50155902763,19.888790211501448,0,20.43,30497.741999998463,25497.741999998463,0.0,0.0,25497.741999998463
614.9000000000713,2135539.4780738465,1.3076407931379715e-10,6821.475209012143,-1.89857326277111,110100.0057,-167970.36833862588,5.50809836046581,-0.0,-57870.362638625884,19.88823634500997,0,20.43,30495.164999998462,25495.164999998462,0.0,0.0,25495.164999998462
615.0000000000713,2136221.5971339783,1.3080584705997853e-10,6821.285470547605,-1.8973846453818173,110100.0057,-167929.2412007493,5.5072151042331265,-0.0,-57829.2355007493,19.88768282510829,0,20.43,30492.58799999846,25492.58799999846,0.0,0.0,25492.58799999846
615.1000000000713,2136903.69723809,1.3084761364543844e-10,6821.0958509262555,-1.896196213488694,110100.0057,-167888.12584047802,5.506332084973223,-0.0,-57788.12014047803,19.88712965174229,0,20.43,30490.01099999846,25490.01099999846,0.0,0.0,25490.01099999846
